target_transform,label_fraction,train_rows_used,val_rows,test_rows,model_family,model_name,checkpoint_path,num_features,missing_keys_count,unexpected_keys_count,val_mae,val_rmse,val_r2,val_spearman,val_median_ae,test_mae,test_rmse,test_r2,test_spearman,test_median_ae
log1p_target,0.1,9839,133470,152488,baseline,mlp_regressor,,321,,,1053.1585693359375,3050.88330078125,-0.31777262687683105,0.6105545184137433,276.7615051269531,1390.1817626953125,3873.292236328125,-0.41089093685150146,0.6268146123498067,387.060791015625
log1p_target,0.1,9839,133470,152488,baseline,xgboost,,321,,,898.3355712890625,2398.4609375,0.18556851148605347,0.664616756956747,243.32135009765625,1125.2559814453125,2955.25439453125,0.17866063117980957,0.7042492083967594,308.4978332519531
log1p_target,0.1,9839,133470,152488,baseline,lightgbm,,321,,,918.5930384261262,2435.4264048618747,0.1602707552412196,0.6603882652397816,249.02884858072355,1157.1043509197536,3000.75297483908,0.1531755027897238,0.6981451361387665,318.1341018166648
log1p_target,0.1,9839,133470,152488,baseline,catboost,,321,,,922.4869158131295,2443.879104121508,0.15443169862000272,0.6615830661941843,247.5876002346116,1166.9041826580053,3018.4211106242637,0.14317410836922662,0.6989529143213625,324.4379012907898
log1p_target,0.05,4919,133470,152488,transformer_pretrained,best_model,Z:\Bloodcounts\FBC-Transformer\artifacts\blood_foundation_v2_20260421_080320\checkpoints\best_model.pt,321,0.0,0.0,994.4375610351562,2574.7705078125,0.06143069267272949,0.6142587670455573,279.00225830078125,1301.3250732421875,3210.28515625,0.030785024166107178,0.621956273986572,398.54730224609375
log1p_target,0.05,4919,133470,152488,transformer_scratch,transformer_scratch,,321,0.0,0.0,1034.4447021484375,2635.635986328125,0.016532182693481445,0.5335373995124802,300.941162109375,1358.3695068359375,3290.383056640625,-0.018182992935180664,0.5307112615775625,443.75518798828125
log1p_target,0.05,4919,133470,152488,baseline,mlp_regressor,,321,,,1141.6746826171875,7853.38427734375,-7.731783866882324,0.5863647346325126,294.5436096191406,1507.6964111328125,9460.9443359375,-7.417862892150879,0.6042168922049291,413.0530090332031
log1p_target,0.05,4919,133470,152488,baseline,xgboost,,321,,,919.0200805664062,2408.439208984375,0.178777813911438,0.6411144234561601,253.04022216796875,1168.765380859375,2988.432861328125,0.1601148247718811,0.675489031461414,332.33099365234375
log1p_target,0.05,4919,133470,152488,baseline,lightgbm,,321,,,946.1180321811242,2465.136583299386,0.13965778892842295,0.643465696614062,260.6459717044305,1212.7351340363405,3058.526065314712,0.12025401335879227,0.6674990735509871,351.8120592068017
log1p_target,0.05,4919,133470,152488,baseline,catboost,,321,,,945.7473794400297,2469.689533801391,0.13647685944849053,0.6474687233977059,258.60412500365896,1212.4183493453784,3063.0777939446843,0.1176335716318666,0.675560720024136,354.3986411413357
